accountCode,Order No.,Date,Crate Code,Item Code,Item Name,Item Type,Item Quantity,Loaded Quantity,Unloaded Quantity,Amount To Be Collected,Status
Cust_1152,=("ord_174759579993_test"),"15, Jun 2019 09:08 PM",dLPQ3qiS2fdvHsM,1432410,Item Name - 1 - 531,Item Type - 1 - 531,2.0,0.0,0.0,12.0,PACKED
Cust_1152,=("ord_174759579993_test"),"15, Jun 2019 09:08 PM",dLPQ3qiS2fdvHsM,3013911,Item Name - 2 - 096,Item Type - 2 - 096,9.0,0.0,0.0,72.0,PACKED
Cust_1152,=("ord_174759579993_test"),"15, Jun 2019 09:08 PM",aDwcGyEgU38idku,2176392,Item Name - 1 - 896,Item Type - 1 - 896,2.0,0.0,0.0,10.0,PACKED
Cust_1152,=("ord_174759579993_test"),"15, Jun 2019 09:08 PM",aDwcGyEgU38idku,0529763,Item Name - 2 - 044,Item Type - 2 - 044,7.0,0.0,0.0,35.0,PACKED
Cust_7959,=("ord_802330240955_test"),"15, Jun 2019 09:06 PM",rfvn8l11c6ZeteO,8391857,Item Name - 1 - 903,Item Type - 1 - 903,5.0,0.0,0.0,45.0,PACKED
Cust_7959,=("ord_802330240955_test"),"15, Jun 2019 09:06 PM",rfvn8l11c6ZeteO,6386654,Item Name - 2 - 199,Item Type - 2 - 199,8.0,0.0,0.0,8.0,PACKED
Cust_7959,=("ord_802330240955_test"),"15, Jun 2019 09:06 PM",Fbwzco6yJSj7W4m,4846176,Item Name - 1 - 764,Item Type - 1 - 764,6.0,0.0,0.0,54.0,PACKED
Cust_7959,=("ord_802330240955_test"),"15, Jun 2019 09:06 PM",Fbwzco6yJSj7W4m,9474372,Item Name - 2 - 030,Item Type - 2 - 030,7.0,0.0,0.0,28.0,PACKED
Cust_5495,=("ord_904077127203_test"),"15, Jun 2019 09:02 PM",PKxrEpySbNQ2pPt,7747539,Item Name - 1 - 696,Item Type - 1 - 696,3.0,0.0,0.0,9.0,PACKED
Cust_5495,=("ord_904077127203_test"),"15, Jun 2019 09:02 PM",PKxrEpySbNQ2pPt,9895627,Item Name - 2 - 343,Item Type - 2 - 343,6.0,0.0,0.0,36.0,PACKED
Cust_5495,=("ord_904077127203_test"),"15, Jun 2019 09:02 PM",wL8UVqwH909z7wS,5794058,Item Name - 1 - 485,Item Type - 1 - 485,6.0,0.0,0.0,6.0,PACKED
Cust_5495,=("ord_904077127203_test"),"15, Jun 2019 09:02 PM",wL8UVqwH909z7wS,5683996,Item Name - 2 - 217,Item Type - 2 - 217,4.0,0.0,0.0,16.0,PACKED
Cust_5089,=("ord_654339654165_test"),"15, Jun 2019 08:59 PM",uxMtMQ5dISOniyk,4018144,Item Name - 1 - 261,Item Type - 1 - 261,6.0,6.0,6.0,6.0,UNLOADED
Cust_5089,=("ord_654339654165_test"),"15, Jun 2019 08:59 PM",uxMtMQ5dISOniyk,2891509,Item Name - 2 - 310,Item Type - 2 - 310,7.0,7.0,7.0,14.0,UNLOADED
Cust_5089,=("ord_654339654165_test"),"15, Jun 2019 08:59 PM",Ajl1PJzST6gk3gW,8238084,Item Name - 1 - 408,Item Type - 1 - 408,5.0,5.0,5.0,0.0,UNLOADED
Cust_5089,=("ord_654339654165_test"),"15, Jun 2019 08:59 PM",Ajl1PJzST6gk3gW,2418755,Item Name - 2 - 537,Item Type - 2 - 537,8.0,8.0,8.0,16.0,UNLOADED
Cust_5854,=("ord_653530619259_test"),"15, Jun 2019 08:56 PM",L5BQxW8kVVHwYTk,5069435,Item Name - 1 - 804,Item Type - 1 - 804,0.0,0.0,0.0,0.0,PACKED
Cust_5854,=("ord_653530619259_test"),"15, Jun 2019 08:56 PM",L5BQxW8kVVHwYTk,5336717,Item Name - 2 - 426,Item Type - 2 - 426,1.0,0.0,0.0,2.0,PACKED
Cust_5854,=("ord_653530619259_test"),"15, Jun 2019 08:56 PM",DZjNbSl9GhUf0fp,0672313,Item Name - 1 - 056,Item Type - 1 - 056,1.0,0.0,0.0,6.0,PACKED
